STATEFP10,PUMACE10
01,00100
01,00200
01,00301
01,00302
01,00400
01,00500
01,00600
01,00700
01,00800
01,00900
01,01000
01,01100
01,01200
01,01301
01,01302
01,01303
01,01304
01,01305
01,01400
01,01500
01,01600
01,01700
01,01800
01,01900
01,02100
13,02003
13,02004
13,02300
13,02500
13,02600
13,02700
13,02800
13,02900
13,03003
13,03004
13,03101
13,03102
13,03200
13,03300
13,03400
13,03500
13,03700
13,03800
13,04001
13,04002
13,04003
13,04004
13,04005
13,04006
13,04400
13,04500
21,00400
21,00600
21,00700
21,00800
21,00900
21,01000
21,01100
21,01200
21,02100
21,02200
21,02300
21,02700
21,02800
24,00100
24,00200
28,00200
28,00400
28,00500
28,00600
28,00700
36,00403
36,00800
36,01300
36,01400
36,01500
36,02201
36,02202
36,02203
36,02300
36,02401
36,02402
36,02500
36,02600
37,00100
37,00200
37,00300
37,01801
37,01802
37,01803
37,01900
37,02000
37,02100
37,02201
37,02202
37,02300
37,02400
37,02500
37,02600
37,02700
37,02800
37,03001
37,03500
39,01300
39,01400
39,01500
39,01600
39,02000
39,02800
39,02900
39,03000
39,03200
39,03300
39,03400
39,03500
39,03600
39,03700
39,03800
39,04800
39,04900
39,05000
39,05100
39,05200
39,05600
39,05700
42,00101
42,00102
42,00200
42,00300
42,00400
42,00500
42,00600
42,00701
42,00702
42,00801
42,00802
42,00803
42,00900
42,01000
42,01100
42,01200
42,01300
42,01400
42,01501
42,01502
42,01600
42,01701
42,01702
42,01801
42,01802
42,01803
42,01804
42,01805
42,01806
42,01807
42,01900
42,02001
42,02002
42,02003
42,02100
42,02200
42,02301
42,02302
42,02600
42,02701
42,02703
42,02801
42,02802
42,02902
42,03602
42,03702
42,03800
42,03900
42,04001
42,04002
45,00101
45,00102
45,00103
45,00104
45,00105
45,00200
45,00301
45,00302
47,00600
47,00700
47,00800
47,00900
47,01000
47,01100
47,01200
47,01300
47,01400
47,01500
47,01601
47,01602
47,01603
47,01604
47,01700
47,01800
47,01900
47,02001
47,02002
47,02003
47,02100
47,02200
47,02300
47,02700
51,51010
51,51020
51,51040
51,51044
51,51045
51,51080
51,51089
51,51097
51,51110
54,00100
54,00200
54,00300
54,00400
54,00500
54,00600
54,00700
54,00800
54,00900
54,01000
54,01100
54,01200
54,01300
