PUMA,NAME,variable,estimate,moe,summary_est,summary_moe,relfreq
0100100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA; Alabama","Agriculture, forestry, fishing and hunting, and mining",1022,268,78784,1188,0.012972177091795288
0100100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA; Alabama",Construction,5711,537,78784,1188,0.07248933793663688
0100100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA; Alabama",Manufacturing,14698,1037,78784,1188,0.1865607229894395
0100100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA; Alabama",Wholesale trade,2235,407,78784,1188,0.028368704305442728
0100100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA; Alabama",Retail trade,9510,625,78784,1188,0.12070978878960195
0100100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA; Alabama","Transportation and warehousing, and utilities",4866,450,78784,1188,0.06176380991064175
0100100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA; Alabama",Information,1090,339,78784,1188,0.013835296506904956
0100100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA; Alabama","Finance and insurance, and real estate, and rental and leasing",3151,385,78784,1188,0.03999543054427295
0100100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA; Alabama","Professional, scientific, and management, and administrative, and waste management services",5814,585,78784,1188,0.07379670999187653
0100100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA; Alabama","Educational services, and health care and social assistance",16881,858,78784,1188,0.21426939480097482
0100100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA; Alabama","Arts, entertainment, and recreation, and accommodation and food services",7109,691,78784,1188,0.09023405767668562
0100100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA; Alabama","Other services, except public administration",3781,441,78784,1188,0.04799197806661251
0100100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA; Alabama",Public administration,2916,406,78784,1188,0.037012591389114544
0100200,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama","Agriculture, forestry, fishing and hunting, and mining",917,269,91136,1763,0.010061885533707866
0100200,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama",Construction,6535,629,91136,1763,0.07170602176966293
0100200,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama",Manufacturing,13140,882,91136,1763,0.14418012640449437
0100200,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama",Wholesale trade,1773,341,91136,1763,0.019454441713483147
0100200,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama",Retail trade,10191,835,91136,1763,0.11182189255617977
0100200,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama","Transportation and warehousing, and utilities",3703,509,91136,1763,0.04063158356741573
0100200,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama",Information,1410,303,91136,1763,0.015471383426966292
0100200,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama","Finance and insurance, and real estate, and rental and leasing",3293,430,91136,1763,0.0361328125
0100200,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama","Professional, scientific, and management, and administrative, and waste management services",13889,1036,91136,1763,0.15239861306179775
0100200,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama","Educational services, and health care and social assistance",17864,1149,91136,1763,0.19601474719101122
0100200,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama","Arts, entertainment, and recreation, and accommodation and food services",6086,754,91136,1763,0.06677931882022473
0100200,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama","Other services, except public administration",4297,629,91136,1763,0.04714931530898876
0100200,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama",Public administration,8038,723,91136,1763,0.08819785814606741
0100301,"Huntsville (North) & Madison (East) Cities PUMA, Alabama","Agriculture, forestry, fishing and hunting, and mining",370,172,65939,1293,0.0056112467583675826
0100301,"Huntsville (North) & Madison (East) Cities PUMA, Alabama",Construction,2361,458,65939,1293,0.035805820531096925
0100301,"Huntsville (North) & Madison (East) Cities PUMA, Alabama",Manufacturing,7814,646,65939,1293,0.11850346532401158
0100301,"Huntsville (North) & Madison (East) Cities PUMA, Alabama",Wholesale trade,879,250,65939,1293,0.01333050243406785
0100301,"Huntsville (North) & Madison (East) Cities PUMA, Alabama",Retail trade,7492,724,65939,1293,0.11362016409105385
0100301,"Huntsville (North) & Madison (East) Cities PUMA, Alabama","Transportation and warehousing, and utilities",2324,412,65939,1293,0.03524469585526017
0100301,"Huntsville (North) & Madison (East) Cities PUMA, Alabama",Information,1415,328,65939,1293,0.02145922746781116
0100301,"Huntsville (North) & Madison (East) Cities PUMA, Alabama","Finance and insurance, and real estate, and rental and leasing",2184,335,65939,1293,0.03312152140614811
0100301,"Huntsville (North) & Madison (East) Cities PUMA, Alabama","Professional, scientific, and management, and administrative, and waste management services",13362,721,65939,1293,0.20264183563596658
0100301,"Huntsville (North) & Madison (East) Cities PUMA, Alabama","Educational services, and health care and social assistance",13804,916,65939,1293,0.20934500068244893
0100301,"Huntsville (North) & Madison (East) Cities PUMA, Alabama","Arts, entertainment, and recreation, and accommodation and food services",5548,643,65939,1293,0.084138370311955
0100301,"Huntsville (North) & Madison (East) Cities PUMA, Alabama","Other services, except public administration",2655,355,65939,1293,0.040264486874232244
0100301,"Huntsville (North) & Madison (East) Cities PUMA, Alabama",Public administration,5731,661,65939,1293,0.08691366262758003
0100302,"Huntsville City (Central & South) PUMA, Alabama","Agriculture, forestry, fishing and hunting, and mining",88,60,46292,1001,0.0019009764106109046
0100302,"Huntsville City (Central & South) PUMA, Alabama",Construction,2397,360,46292,1001,0.05178000518448112
0100302,"Huntsville City (Central & South) PUMA, Alabama",Manufacturing,4676,450,46292,1001,0.10101097381837035
0100302,"Huntsville City (Central & South) PUMA, Alabama",Wholesale trade,669,173,46292,1001,0.014451741121576083
0100302,"Huntsville City (Central & South) PUMA, Alabama",Retail trade,5426,576,46292,1001,0.1172124773178951
0100302,"Huntsville City (Central & South) PUMA, Alabama","Transportation and warehousing, and utilities",1134,208,46292,1001,0.02449667329128143
0100302,"Huntsville City (Central & South) PUMA, Alabama",Information,962,189,46292,1001,0.020781128488723752
0100302,"Huntsville City (Central & South) PUMA, Alabama","Finance and insurance, and real estate, and rental and leasing",1870,241,46292,1001,0.040395748725481725
0100302,"Huntsville City (Central & South) PUMA, Alabama","Professional, scientific, and management, and administrative, and waste management services",8926,538,46292,1001,0.19281949364901063
0100302,"Huntsville City (Central & South) PUMA, Alabama","Educational services, and health care and social assistance",9545,649,46292,1001,0.20619113453728505
0100302,"Huntsville City (Central & South) PUMA, Alabama","Arts, entertainment, and recreation, and accommodation and food services",5156,502,46292,1001,0.11137993605806619
0100302,"Huntsville City (Central & South) PUMA, Alabama","Other services, except public administration",1766,281,46292,1001,0.03814914024021429
0100302,"Huntsville City (Central & South) PUMA, Alabama",Public administration,3677,438,46292,1001,0.07943057115700337
0100400,"DeKalb & Jackson Counties PUMA, Alabama","Agriculture, forestry, fishing and hunting, and mining",1076,276,49991,1094,0.021523874297373527
0100400,"DeKalb & Jackson Counties PUMA, Alabama",Construction,3683,469,49991,1094,0.07367326118701366
0100400,"DeKalb & Jackson Counties PUMA, Alabama",Manufacturing,13929,938,49991,1094,0.278630153427617
0100400,"DeKalb & Jackson Counties PUMA, Alabama",Wholesale trade,923,197,49991,1094,0.01846332339821168
