coal_region,county,state_code,FIPS,state,sum,count
1,Bibb,1,1007,AL,1,1
1,Blount,1,1009,AL,1,1
1,Calhoun,1,1015,AL,1,1
1,Chambers,1,1017,AL,1,1
1,Cherokee,1,1019,AL,1,1
1,Chilton,1,1021,AL,1,1
1,Clay,1,1027,AL,1,1
1,Cleburne,1,1029,AL,1,1
1,Colbert,1,1033,AL,1,1
1,Coosa,1,1037,AL,1,1
1,Cullman,1,1043,AL,1,1
1,De Kalb,1,1049,AL,1,1
1,Elmore,1,1051,AL,1,1
1,Etowah,1,1055,AL,1,1
1,Fayette,1,1057,AL,1,1
1,Franklin,1,1059,AL,1,1
1,Hale,1,1065,AL,1,1
1,Jackson,1,1071,AL,1,1
1,Jefferson,1,1073,AL,1,1
1,Lamar,1,1075,AL,1,1
1,Lauderdale,1,1077,AL,1,1
1,Lawrence,1,1079,AL,1,1
1,Limestone,1,1083,AL,1,1
1,Macon,1,1087,AL,1,1
1,Madison,1,1089,AL,1,1
1,Marion,1,1093,AL,1,1
1,Marshall,1,1095,AL,1,1
1,Morgan,1,1103,AL,1,1
1,Pickens,1,1107,AL,1,1
1,Randolph,1,1111,AL,1,1
1,St Clair,1,1115,AL,1,1
1,Shelby,1,1117,AL,1,1
1,Talladega,1,1121,AL,1,1
1,Tallapoosa,1,1123,AL,1,1
1,Tuscaloosa,1,1125,AL,1,1
1,Walker,1,1127,AL,1,1
1,Winston,1,1133,AL,1,1
3,Apache,4,4001,AZ,1,1
3,Cochise,4,4003,AZ,1,1
3,Coconino,4,4005,AZ,1,1
3,Gila,4,4007,AZ,1,1
3,Graham,4,4009,AZ,1,1
3,Greenlee,4,4011,AZ,1,1
3,La Paz,4,4012,AZ,1,1
3,Maricopa,4,4013,AZ,1,1
3,Mohave,4,4015,AZ,1,1
3,Navajo,4,4017,AZ,1,1
3,Pima,4,4019,AZ,1,1
3,Pinal,4,4021,AZ,1,1
3,Santa Cruz,4,4023,AZ,1,1
3,Yavapai,4,4025,AZ,1,1
3,Yuma,4,4027,AZ,1,1
2,Arkansas,5,5001,AR,1,1
2,Ashley,5,5003,AR,1,1
2,Baxter,5,5005,AR,1,1
2,Benton,5,5007,AR,1,1
2,Boone,5,5009,AR,1,1
2,Bradley,5,5011,AR,1,1
2,Calhoun,5,5013,AR,1,1
2,Carroll,5,5015,AR,1,1
2,Chicot,5,5017,AR,1,1
2,Clark,5,5019,AR,1,1
2,Clay,5,5021,AR,1,1
2,Cleburne,5,5023,AR,1,1
2,Cleveland,5,5025,AR,1,1
2,Columbia,5,5027,AR,1,1
2,Conway,5,5029,AR,1,1
2,Craighead,5,5031,AR,1,1
2,Crawford,5,5033,AR,1,1
2,Crittenden,5,5035,AR,1,1
2,Cross,5,5037,AR,1,1
2,Dallas,5,5039,AR,1,1
2,Desha,5,5041,AR,1,1
2,Drew,5,5043,AR,1,1
2,Faulkner,5,5045,AR,1,1
2,Franklin,5,5047,AR,1,1
2,Fulton,5,5049,AR,1,1
2,Garland,5,5051,AR,1,1
2,Grant,5,5053,AR,1,1
2,Greene,5,5055,AR,1,1
2,Hempstead,5,5057,AR,1,1
2,Hot Spring,5,5059,AR,1,1
2,Howard,5,5061,AR,1,1
2,Independence,5,5063,AR,1,1
2,Izard,5,5065,AR,1,1
2,Jackson,5,5067,AR,1,1
2,Jefferson,5,5069,AR,1,1
2,Johnson,5,5071,AR,1,1
2,Lafayette,5,5073,AR,1,1
2,Lawrence,5,5075,AR,1,1
2,Lee,5,5077,AR,1,1
2,Lincoln,5,5079,AR,1,1
2,Little River,5,5081,AR,1,1
2,Logan,5,5083,AR,1,1
2,Lonoke,5,5085,AR,1,1
2,Madison,5,5087,AR,1,1
2,Marion,5,5089,AR,1,1
2,Miller,5,5091,AR,1,1
2,Mississippi,5,5093,AR,1,1
2,Monroe,5,5095,AR,1,1
2,Montgomery,5,5097,AR,1,1
2,Nevada,5,5099,AR,1,1
2,Newton,5,5101,AR,1,1
2,Ouachita,5,5103,AR,1,1
2,Perry,5,5105,AR,1,1
2,Phillips,5,5107,AR,1,1
2,Pike,5,5109,AR,1,1
2,Poinsett,5,5111,AR,1,1
2,Polk,5,5113,AR,1,1
2,Pope,5,5115,AR,1,1
2,Prairie,5,5117,AR,1,1
2,Pulaski,5,5119,AR,1,1
2,Randolph,5,5121,AR,1,1
2,St Francis,5,5123,AR,1,1
2,Saline,5,5125,AR,1,1
2,Scott,5,5127,AR,1,1
